Date;Open Price;Close Price;Diff
2018-01-10 00:00;14073,16;14073,16;0
2018-01-10 01:00;14073,16;14193,43;120,27
2018-01-10 02:00;14193,43;14290,4;96,97
2018-01-10 03:00;14290,4;14139,18;-151,22
2018-01-10 04:00;14139,18;14374,32;235,14
2018-01-10 05:00;14374,32;14182,03;-192,29
2018-01-10 06:00;14182,03;14240,25;58,22
2018-01-10 07:00;14240,25;14115,24;-125,01
2018-01-10 08:00;14115,24;13500,39;-614,85
2018-01-10 09:00;13500,39;13790,67;290,28
2018-01-10 10:00;13790,67;13862,86;72,19
2018-01-10 11:00;13862,86;14073,29;210,43
2018-01-10 12:00;14073,29;13898,03;-175,26
2018-01-10 13:00;13898,03;13907,03;9
2018-01-10 14:00;13907,03;13778,42;-128,61
2018-01-10 15:00;13778,42;14420,99;642,57
2018-01-10 16:00;14420,99;14498,19;77,2
2018-01-10 17:00;14498,19;14556,76;58,57
2018-01-10 18:00;14556,76;14479,26;-77,5
2018-01-10 19:00;14479,26;14339,61;-139,65
2018-01-10 20:00;14339,61;14463,84;124,23
2018-01-10 21:00;14463,84;14481,59;17,75
2018-01-10 22:00;14481,59;14457,25;-24,34
2018-01-10 23:00;14457,25;14859,3;402,05
2018-01-11 00:00;14859,3;14681,31;-177,99
2018-01-11 01:00;14681,31;14496,48;-184,83
2018-01-11 02:00;14496,48;14250,19;-246,29
2018-01-11 03:00;14250,19;13295,6;-954,59
2018-01-11 04:00;13295,6;13286,18;-9,42
2018-01-11 05:00;13286,18;13123,3;-162,88
2018-01-11 06:00;13123,3;13389,86;266,56
2018-01-11 07:00;13389,86;13566,97;177,11
2018-01-11 08:00;13566,97;13782,84;215,87
2018-01-11 09:00;13782,84;13539,09;-243,75
2018-01-11 10:00;13539,09;13305,48;-233,61
2018-01-11 11:00;13305,48;13449,15;143,67
2018-01-11 12:00;13449,15;13831,78;382,63
2018-01-11 13:00;13831,78;13704,39;-127,39
2018-01-11 14:00;13704,39;13835,64;131,25
2018-01-11 15:00;13835,64;13997,75;162,11
2018-01-11 16:00;13997,75;13900,14;-97,61
2018-01-11 17:00;13900,14;13670,12;-230,02
2018-01-11 18:00;13670,12;13713,64;43,52
2018-01-11 19:00;13713,64;13361,39;-352,25
2018-01-11 20:00;13361,39;13467,3;105,91
2018-01-11 21:00;13467,3;13445,23;-22,07
2018-01-11 22:00;13445,23;13088,33;-356,9
2018-01-11 23:00;13088,33;13316,81;228,48
2018-01-12 00:00;13316,81;13099,9;-216,91
2018-01-12 01:00;13099,9;13414,49;314,59
2018-01-12 02:00;13414,49;13469,39;54,9
2018-01-12 03:00;13469,39;13640,92;171,53
2018-01-12 04:00;13640,92;13686,74;45,82
2018-01-12 05:00;13686,74;13603,33;-83,41
2018-01-12 06:00;13603,33;13732,53;129,2
2018-01-12 07:00;13732,53;13620,27;-112,26
2018-01-12 08:00;13620,27;13591,31;-28,96
2018-01-12 09:00;13591,31;13507,24;-84,07
2018-01-12 10:00;13507,24;13936,2;428,96
2018-01-12 11:00;13936,2;13971,35;35,15
2018-01-12 12:00;13971,35;14042,17;70,82
2018-01-12 13:00;14042,17;13871,66;-170,51
2018-01-12 14:00;13871,66;13933,37;61,71
2018-01-12 15:00;13933,37;13647,04;-286,33
2018-01-12 16:00;13647,04;13568,18;-78,86
2018-01-12 17:00;13568,18;13616,18;48
2018-01-12 18:00;13616,18;13490,33;-125,85
2018-01-12 19:00;13490,33;13770,3;279,97
2018-01-12 20:00;13770,3;13907,04;136,74
2018-01-12 21:00;13907,04;13744,49;-162,55
2018-01-12 22:00;13744,49;13639,28;-105,21
2018-01-12 23:00;13639,28;13784,29;145,01
2018-01-13 00:00;13784,29;14091,41;307,12
2018-01-13 01:00;14091,41;14158,9;67,49
2018-01-13 02:00;14158,9;14163,48;4,58
2018-01-13 03:00;14163,48;14162,52;-0,96
2018-01-13 04:00;14162,52;14113,2;-49,32
2018-01-13 05:00;14113,2;14192,94;79,74
2018-01-13 06:00;14192,94;14221,38;28,44
2018-01-13 07:00;14221,38;14410,83;189,45
2018-01-13 08:00;14410,83;14250,16;-160,67
2018-01-13 09:00;14250,16;14219,11;-31,05
2018-01-13 10:00;14219,11;14232,32;13,21
2018-01-13 11:00;14232,32;14257,65;25,33
2018-01-13 12:00;14257,65;14342,94;85,29
2018-01-13 13:00;14342,94;14484,72;141,78
2018-01-13 14:00;14484,72;14384,06;-100,66
2018-01-13 15:00;14384,06;14260,29;-123,77
2018-01-13 16:00;14260,29;14281,22;20,93
2018-01-13 17:00;14281,22;14308,72;27,5
2018-01-13 18:00;14308,72;14264,32;-44,4
2018-01-13 19:00;14264,32;14085,2;-179,12
2018-01-13 20:00;14085,2;14177,56;92,36
2018-01-13 21:00;14177,56;14166,75;-10,81
2018-01-13 22:00;14166,75;14309,92;143,17
2018-01-13 23:00;14309,92;14203,74;-106,18
2018-01-14 00:00;14203,74;14261,93;58,19
2018-01-14 01:00;14261,93;14315,84;53,91
2018-01-14 02:00;14315,84;14234,04;-81,8
2018-01-14 03:00;14234,04;14217,13;-16,91
2018-01-14 04:00;14217,13;13900,38;-316,75
2018-01-14 05:00;13900,38;13794,87;-105,51
2018-01-14 06:00;13794,87;13836,41;41,54
2018-01-14 07:00;13836,41;13752,01;-84,4
2018-01-14 08:00;13752,01;13668,43;-83,58
2018-01-14 09:00;13668,43;13548,09;-120,34
2018-01-14 10:00;13548,09;13542,93;-5,16
2018-01-14 11:00;13542,93;13516,68;-26,25
2018-01-14 12:00;13516,68;13315,09;-201,59
2018-01-14 13:00;13315,09;13599,06;283,97
2018-01-14 14:00;13599,06;13530,92;-68,14
2018-01-14 15:00;13530,92;13219,51;-311,41
2018-01-14 16:00;13219,51;13353,74;134,23
2018-01-14 17:00;13353,74;13494,79;141,05
2018-01-14 18:00;13494,79;13529,56;34,77
2018-01-14 19:00;13529,56;13374,75;-154,81
2018-01-14 20:00;13374,75;13477,5;102,75
2018-01-14 21:00;13477,5;13393,82;-83,68
2018-01-14 22:00;13393,82;13566,12;172,3
2018-01-14 23:00;13566,12;13618,19;52,07
2018-01-15 00:00;13618,19;13712,41;94,22
2018-01-15 01:00;13712,41;13642,62;-69,79
2018-01-15 02:00;13642,62;13510,2;-132,42
2018-01-15 03:00;13510,2;13548,65;38,45
2018-01-15 04:00;13548,65;13608,25;59,6
2018-01-15 05:00;13608,25;13586,64;-21,61
2018-01-15 06:00;13586,64;13751,82;165,18
2018-01-15 07:00;13751,82;13650,02;-101,8
2018-01-15 08:00;13650,02;13593,76;-56,26
2018-01-15 09:00;13593,76;13684,48;90,72
2018-01-15 10:00;13684,48;13773,37;88,89
2018-01-15 11:00;13773,37;13748,78;-24,59
2018-01-15 12:00;13748,78;14141,6;392,82
2018-01-15 13:00;14141,6;14167,92;26,32
2018-01-15 14:00;14167,92;14136,14;-31,78
2018-01-15 15:00;14136,14;14062,06;-74,08
2018-01-15 16:00;14062,06;14135,9;73,84
2018-01-15 17:00;14135,9;13919,12;-216,78
2018-01-15 18:00;13919,12;13934,37;15,25
2018-01-15 19:00;13934,37;13902,59;-31,78
2018-01-15 20:00;13902,59;13722,69;-179,9
2018-01-15 21:00;13722,69;13918,66;195,97
2018-01-15 22:00;13918,66;13805,39;-113,27
2018-01-15 23:00;13805,39;13574;-231,39
2018-01-16 00:00;13574;13292,47;-281,53
2018-01-16 01:00;13292,47;13056,11;-236,36
2018-01-16 02:00;13056,11;13146,68;90,57
2018-01-16 03:00;13146,68;12955,76;-190,92
2018-01-16 04:00;12955,76;12990,34;34,58
2018-01-16 05:00;12990,34;13118,75;128,41
2018-01-16 06:00;13118,75;13147,44;28,69
2018-01-16 07:00;13147,44;12488,38;-659,06
2018-01-16 08:00;12488,38;12144,97;-343,41
2018-01-16 09:00;12144,97;11503,65;-641,32
2018-01-16 10:00;11503,65;11761,09;257,44
2018-01-16 11:00;11761,09;12328,27;567,18
2018-01-16 12:00;12328,27;12007,36;-320,91
2018-01-16 13:00;12007,36;11533,81;-473,55
